Date,Visitor,G,Home,G,,Att.,LOG,Notes
2007-11-16,Columbus Blue Jackets,2,St. Louis Blues,3,,19150,,
2007-11-16,Washington Capitals,2,Tampa Bay Lightning,5,,19526,,
2007-11-16,Minnesota Wild,2,Vancouver Canucks,6,,18630,,
2007-11-17,Florida Panthers,1,Carolina Hurricanes,2,,16962,,
2007-11-17,Chicago Blackhawks,5,Detroit Red Wings,3,,20066,,
2007-11-17,Calgary Flames,3,Edmonton Oilers,1,,16839,,
2007-11-17,Phoenix Coyotes,1,Los Angeles Kings,0,,15659,,
2007-11-17,Boston Bruins,4,Montreal Canadiens,7,,21273,,
2007-11-17,St. Louis Blues,3,Nashville Predators,2,SO,15246,,
2007-11-17,New Jersey Devils,6,Philadelphia Flyers,2,,19621,,
2007-11-17,New York Rangers,4,Pittsburgh Penguins,3,OT,17125,,
2007-11-17,Anaheim Ducks,2,San Jose Sharks,1,SO,17496,,
2007-11-17,Ottawa Senators,0,Toronto Maple Leafs,3,,19596,,
2007-11-18,Detroit Red Wings,5,Columbus Blue Jackets,4,SO,15503,,
2007-11-18,Colorado Avalanche,1,Minnesota Wild,4,,18568,,
2007-11-18,Calgary Flames,1,Vancouver Canucks,4,,18630,,
2007-11-19,Tampa Bay Lightning,3,Atlanta Thrashers,4,OT,13419,,
2007-11-19,Los Angeles Kings,0,Dallas Stars,3,,17208,,
2007-11-19,Ottawa Senators,4,Montreal Canadiens,2,,21273,,
2007-11-19,New York Islanders,2,New York Rangers,1,,18200,,
2007-11-19,Nashville Predators,1,St. Louis Blues,2,,15239,,
2007-11-19,Florida Panthers,4,Washington Capitals,3,,13411,,
2007-11-20,Colorado Avalanche,1,Calgary Flames,4,,19289,,
2007-11-20,Vancouver Canucks,4,Edmonton Oilers,5,SO,16839,,
2007-11-20,Boston Bruins,4,Toronto Maple Leafs,2,,19441,,
2007-11-21,Ottawa Senators,2,Buffalo Sabres,4,,18690,,
2007-11-21,Philadelphia Flyers,6,Carolina Hurricanes,3,,16351,,
2007-11-21,Florida Panthers,5,Columbus Blue Jackets,2,,13326,,
2007-11-21,Anaheim Ducks,1,Dallas Stars,2,,18584,,
2007-11-21,St. Louis Blues,0,Detroit Red Wings,3,,19124,,
2007-11-21,Vancouver Canucks,4,Minnesota Wild,2,,18568,,
